Unnamed: 0,Year,Sem,Course Code,Section,AB,BB,DD,FR,Total,AA,BC,CC,CD,II,AU,FF,AP,PP,NP,W,S,pp,DX,Unnamed: 22,section_tag_div
0,2020,1,AE 152,Total Grades Given for are,1.0,2.0,1.0,1.0,5,,,,,,,,,,,,,,,,
1,2020,1,AE 153,Total Grades Given for are,2.0,1.0,,,4,1.0,,,,,,,,,,,,,,,
2,2020,1,AE 153,Total Grades Given for section M are,5.0,6.0,,,17,,6.0,,,,,,,,,,,,,,M
3,2020,1,AE 219,Total Grades Given for are,4.0,3.0,,1.0,19,11.0,,,,,,,,,,,,,,,
4,2020,1,AE 223,Total Grades Given for are,17.0,11.0,1.0,4.0,80,6.0,21.0,13.0,5.0,2.0,,,,,,,,,,,
5,2020,1,AE 225,Total Grades Given for are,13.0,19.0,8.0,5.0,79,5.0,16.0,9.0,4.0,,,,,,,,,,,,
6,2020,1,AE 227,Total Grades Given for are,15.0,20.0,4.0,3.0,80,13.0,10.0,10.0,3.0,1.0,1.0,,,,,,,,,,
7,2020,1,AE 308,Total Grades Given for are,20.0,21.0,3.0,3.0,64,8.0,4.0,,3.0,2.0,,,,,,,,,,,
8,2020,1,AE 308,Total Grades Given for section M are,,1.0,,,2,,1.0,,,,,,,,,,,,,,M
9,2020,1,AE 326,Total Grades Given for are,23.0,17.0,1.0,3.0,64,3.0,14.0,3.0,,,,,,,,,,,,,
10,2020,1,AE 326,Total Grades Given for section M are,1.0,1.0,,,2,,,,,,,,,,,,,,,,M
11,2020,1,AE 330,Total Grades Given for are,24.0,15.0,3.0,,65,10.0,5.0,6.0,2.0,,,,,,,,,,,,
12,2020,1,AE 333,Total Grades Given for are,3.0,6.0,3.0,,60,2.0,20.0,22.0,4.0,,,,,,,,,,,,
13,2020,1,AE 407,Total Grades Given for are,21.0,14.0,3.0,1.0,59,8.0,5.0,5.0,2.0,,,,,,,,,,,,
14,2020,1,AE 407,Total Grades Given for section M are,,2.0,1.0,,5,,2.0,,,,,,,,,,,,,,M
15,2020,1,AE 410,Total Grades Given for are,19.0,19.0,4.0,,58,4.0,5.0,2.0,4.0,1.0,,,,,,,,,,,
16,2020,1,AE 410,Total Grades Given for section M are,1.0,1.0,,,2,,,,,,,,,,,,,,,,M
17,2020,1,AE 419,Total Grades Given for are,1.0,1.0,,,4,2.0,,,,,,,,,,,,,,,
18,2020,1,AE 429,Total Grades Given for are,,,,1.0,1,,,,,,,,,,,,,,,,
19,2020,1,AE 484,Total Grades Given for are,12.0,11.0,1.0,,78,12.0,18.0,6.0,3.0,,12.0,3.0,,,,,,,,,
20,2020,1,AE 493,Total Grades Given for are,1.0,1.0,,,19,17.0,,,,,,,,,,,,,,,
21,2020,1,AE 616,Total Grades Given for are,7.0,6.0,2.0,2.0,30,9.0,1.0,2.0,,,1.0,,,,,,,,,,
22,2020,1,AE 641,Total Grades Given for are,,4.0,3.0,,13,2.0,1.0,3.0,,,,,,,,,,,,,
23,2020,1,AE 651,Total Grades Given for are,17.0,17.0,1.0,,61,3.0,8.0,10.0,4.0,,,1.0,,,,,,,,,
24,2020,1,AE 673,Total Grades Given for are,6.0,3.0,1.0,3.0,24,3.0,3.0,2.0,2.0,,1.0,,,,,,,,,,
25,2020,1,AE 682,Total Grades Given for are,1.0,1.0,,,5,1.0,,,1.0,,1.0,,,,,,,,,,
26,2020,1,AE 694,Total Grades Given for are,,1.0,,,1,,,,,,,,,,,,,,,,
27,2020,1,AE 695,Total Grades Given for are,15.0,26.0,2.0,2.0,62,7.0,5.0,3.0,2.0,,,,,,,,,,,,
28,2020,1,AE 705,Total Grades Given for are,17.0,17.0,1.0,,75,24.0,12.0,4.0,,,,,,,,,,,,,
29,2020,1,AE 707,Total Grades Given for are,16.0,8.0,,,40,9.0,5.0,1.0,,1.0,,,,,,,,,,,
30,2020,1,AE 708,Total Grades Given for are,1.0,,,,4,1.0,1.0,,,,1.0,,,,,,,,,,
31,2020,1,AE 708,Total Grades Given for section M are,1.0,,,,1,,,,,,,,,,,,,,,,M
32,2020,1,AE 709,Total Grades Given for are,2.0,4.0,1.0,1.0,13,,1.0,4.0,,,,,,,,,,,,,
33,2020,1,AE 711,Total Grades Given for are,4.0,11.0,1.0,3.0,28,3.0,,3.0,3.0,,,,,,,,,,,,
34,2020,1,AE 715,Total Grades Given for are,7.0,3.0,,2.0,17,3.0,1.0,,,,1.0,,,,,,,,,,
35,2020,1,AE 715,Total Grades Given for section M are,1.0,,,,1,,,,,,,,,,,,,,,,M
36,2020,1,AE 720,Total Grades Given for are,1.0,,,,2,,,,,,1.0,,,,,,,,,,
37,2020,1,AE 726,Total Grades Given for are,6.0,1.0,,2.0,19,3.0,2.0,,2.0,,3.0,,,,,,,,,,
38,2020,1,AE 775,Total Grades Given for are,7.0,3.0,,1.0,15,1.0,1.0,,,,2.0,,,,,,,,,,
39,2020,1,AE 780,Total Grades Given for are,2.0,2.0,,1.0,6,,1.0,,,,,,,,,,,,,,
40,2020,1,AE 305,Total Grades Given for are,,,,,1,,,1.0,,,,,,,,,,,,,
41,2020,1,AE 312,Total Grades Given for are,,,,,1,,1.0,,,,,,,,,,,,,,
42,2020,1,AE 650,Total Grades Given for are,1.0,,,,2,1.0,,,,,,,,,,,,,,,
43,2020,1,AE 656,Total Grades Given for are,6.0,4.0,2.0,1.0,25,3.0,4.0,2.0,1.0,,2.0,,,,,,,,,,
44,2020,1,AES802,Total Grades Given for are,,,,,2,2.0,,,,,,,,,,,,,,,
45,2020,1,BB 421,Total Grades Given for are,5.0,8.0,,,17,1.0,2.0,,,1.0,,,,,,,,,,,
46,2020,1,BB 553,Total Grades Given for are,10.0,4.0,,1.0,64,42.0,1.0,1.0,,,5.0,,,,,,,,,,
47,2020,1,BB 553,Total Grades Given for section M are,,,,,1,1.0,,,,,,,,,,,,,,,M
48,2020,1,BB 603,Total Grades Given for are,21.0,11.0,,,50,16.0,1.0,1.0,,,,,,,,,,,,,
49,2020,1,BB 603,Total Grades Given for section M are,3.0,3.0,,,7,1.0,,,,,,,,,,,,,,,M
50,2020,1,BB 619,Total Grades Given for are,12.0,8.0,,,29,3.0,1.0,1.0,,,4.0,,,,,,,,,,
51,2020,1,BB 627,Total Grades Given for are,2.0,1.0,,,14,,5.0,5.0,1.0,,,,,,,,,,,,
52,2020,1,BB 633,Total Grades Given for are,9.0,7.0,,1.0,28,3.0,3.0,3.0,1.0,,1.0,,,,,,,,,,
53,2020,1,BB 663,Total Grades Given for are,10.0,6.0,,,22,4.0,2.0,,,,,,,,,,,,,,
54,2020,1,BB 665,Total Grades Given for are,21.0,7.0,,,37,9.0,,,,,,,,,,,,,,,
55,2020,1,BB 673,Total Grades Given for are,3.0,1.0,,,7,2.0,1.0,,,,,,,,,,,,,,
56,2020,1,BB 679,Total Grades Given for are,3.0,3.0,,,19,3.0,6.0,,,,4.0,,,,,,,,,,
57,2020,1,BB 701,Total Grades Given for are,5.0,1.0,,,14,8.0,,,,,,,,,,,,,,,
58,2020,1,BBS801,Total Grades Given for are,7.0,2.0,,,12,3.0,,,,,,,,,,,,,,,
59,2020,1,BB 412,Total Grades Given for are,5.0,2.0,,,17,8.0,1.0,,,1.0,,,,,,,,,,,
60,2020,1,BB 503,Total Grades Given for are,22.0,3.0,,1.0,36,8.0,,,1.0,,1.0,,,,,,,,,,
61,2020,1,BB 503,Total Grades Given for section M are,2.0,1.0,,,4,,,,1.0,,,,,,,,,,,,M
62,2020,1,BB 694,Total Grades Given for are,5.0,2.0,,2.0,24,12.0,2.0,1.0,,,,,,,,,,,,,
63,2020,1,CE 223,Total Grades Given for section S1 are,15.0,23.0,2.0,1.0,69,8.0,13.0,5.0,1.0,,,,1.0,,,,,,,,S1
64,2020,1,CE 223,Total Grades Given for section S2 are,14.0,16.0,,,57,7.0,12.0,5.0,3.0,,,,,,,,,,,,S2
